,,累计确诊,新增确诊,现有确诊,现有疑似,新增疑似,累计治愈,新增治愈,累计死亡,新增死亡,隔离治疗,重症,危重症,累计追踪密切接触者,当日解除医学观察,正在接受医学观察,,,,,,,,,
,,累计确诊,新增确诊,现有确诊,现有疑似,新增疑似,累计治愈,新增治愈,累计死亡,新增死亡,隔离治疗,重症,危重症,累计追踪密切接触者,当日解除医学观察,正在接受医学观察,,,,,,,,,
2020.1.27,新疆,10,5,10,,,0,0,0,0,,2,0,204,9,195,,,,,,,,,
2020.1.28,全国,5974,1459,5739,9239,3248,103,43,132,26,,1239,,65537,1604,59990,,,,,,,,,
2020.1.28（截至12时）,北京,91,11,86,,,4,2,1,0,,,,,,,,,,,,,,,
2020.1.28,天津,24,1,24,,,0,0,0,0,,17,0,191,2,183,,,,,,,,,
2020.1.28,河北,48,15,47,99,45,0,0,1,0,0,4,0,1040,0,1040,,,,,,,,,
2020.1.28,山西,27,7,27,,,,,0,,,2,,603,47,,,,,,,,,,
2020.1.28,内蒙古,16,3,16,9,2,,,,,,1,1,396,0,396,,,,,,,,,
2020.1.28,辽宁（截至1.29上午9：00）,36,6,30,,,,,,,,,,485,21,464,,,,,,,,,
2020.1.28,吉林,9,1,9,,,,,,,,,,288,,,,,,,,,,,
2020.1.28,黑龙江,37,7,36,,45, , ,1, ,,3, ,978,32,401,,,,,,,,,
2020.1.28,上海,80,14,75,167,38,4,1,1,0,75,0,2,,,,,,,,,,,,
2020.1.28,江苏,99,29,98,,,1,,,,,1,,1535,10,1483,,,,,,,,,
2020.1.28,浙江,296,123,293,,,3,2,,,,42,,5885,134,5501,,,,,,,,,
2020.1.28,安徽,152,46,152,116,42,,,,,,,,2884,,410,,,,,,,,,
2020.1.28,福建,80,21,80,67,51,,,,,,,,,,,,,,,,,,,
2020.1.28,江西,109,37,106,,,3,1,0,0,,11,0,3850,42,3727,,,,,,,,,
2020.1.28,山东,121,34,121,55,,0,0,0,0,0,0,0,3171,35,3095,,,,,,,,,
2020.1.28,河南,206,38,203,78,,1,1,2,1,,32,2,3158,148,2768,,,,,,,,,
2020.1.28,湖北,3554,840,3349,,,80,33,125,25,3349,671,228,22095,,20366,,,,,,,,,
2020.1.28,湖南,277,56,277,,,0,0,0,0,,29,,4434,42,4297,,,,,,,,,
2020.1.28,广东,241,53,236,,,5,1,,,,22,9,1342,,1342,,,,,,,,,
2020.1.28,广西,58,7,58,,,,,,,,5,0,492,,455,,,,,,,,,
2020.1.28,海南,43,5,42,,,0,0,1,0,,9,,913,86,827,,,,,,,,,
2020.1.28,重庆,147,15,147,,,0,0,0,0,,15,4,2462,103,2359,,,,,,,,,
2020.1.28,四川,108,18,108,,,,,,,108,,3,,129,1617,,,,,,,,,
2020.1.28,贵州,9,0,8,3,3,1,1,0,0,8,1,,281,19+1确诊,261,,,,,,,,,
2020.1.28,云南,51,25,51,,163,,,,,,5,,558,,874,,,,,,,,,
2020.1.28,西藏,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.28,陕西,46,11,46,,,,,,,,,,899,,340,,,,,,,,,
2020.1.28,甘肃,24,5,24,,,0,0,0,0,,3,0,388,8,,,,,,,,,,
2020.1.28,青海,6,0,6,,,,,,,,,,76,2,,,,,,,,,,
2020.1.28,宁夏,12,1,12,,2,,,,,,,,,,,,,,,,,,,
2020.1.28,新疆,13,3,13,,,0,0,0,0,,4,0,307,9,298,,,,,,,,,
2020.1.29,全国,7711,1737,7417,12167,4148,124,21,170,38,,1370,,88693,2364,81947,,,,,,,,,
2020.1.29（截至20时）,北京,111,20,106,,,4,0,1,0,106,,14,,,,,,,,,,,,
2020.1.29,天津,27,3,27,,,0,0,0,0,,13,0,210,2,201,,,,,,,,,
